ARPT_IDENT	NAME	STATE_PROV	ICAO	FAA_HOST_ID	LOC_HDATUM	WGS_DATUM	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	ELEV	TYPE	MAG_VAR	WAC	BEACON	SECOND_ARPT	OPR_AGY	SEC_NAME	SEC_ICAO	SEC_FAA	SEC_OPR_AGY	CYCLE_DATE	TERRAIN	HYDRO
BR17796	TIRIOS		SBTS	N	WGE	WGE	N02132450	2.223472	W055564580	-55.946056	01127	D	W016416 0106	0894			MI					200405		
BR18107	EIRUNEPE		SB	SWEI	WGE	WGE	S06382230	-6.639528	W069524740	-69.879833	00412	D	W006407 0106	1013			CI					200607		
BR18391	CAMPO DE BOI		SB	SNBV	WGE	WGE	S02312390	-2.523306	W047310270	-47.517417	00186	D	W020059 0106	0946			PV					200409		
BR18413	MACAE		SBME	N	WGE	WGE	S22203491	-22.343031	W041455772	-41.766033	00008	D	W022142 0106	1263	Y		CI					200512		
BR18478	CAMPO DOS BUGRES		SBCX	N	WGE	WGE	S29114943	-29.197064	W051111513	-51.187536	02472	D	W015257 0106	1384	Y		CI					200605		
BR18633	PRESIDENTE JUSCELINO KUBITSCHEK		SBBR	N	WGE	WGE	S15521596	-15.871100	W047550705	-47.918625	03479	B	W020171 0106	1140	Y		ML					200603		
BR18687	ASSIS		SBAS	N	WGE	WGE	S22381883	-22.638564	W050272129	-50.455914	01850	D	W017545 0106	1261	Y		CI					200603		
BR18796	CHAPECO		SBCH	N	WGE	WGE	S27080319	-27.134219	W052392359	-52.656553	02146	D	W015083 0106	1314	Y		CI					200602		
BR18986	AMARAIS		SB	SDAM	WGE	WGE	S22513327	-22.859242	W047062946	-47.108183	02008	D	W019467 0106	1262			CI					200603		
BR19333	TRES MARIAS		SB	SNAS	WGE	WGE	S18132070	-18.222417	W045112028	-45.188967	02579	D	W021189 0106	1190			CI					200409		
BR19423	REALEZA		SB	SSRE	WGE	WGE	S25480436	-25.801211	W053304582	-53.512728	01693	D	W014578 0106	1314			CI					200509		
BR19485	ZUMBI DOS PALMARES		SBMO	N	WGE	WGE	S09303891	-9.510808	W035473004	-35.791678	00387	A	W022442 0106	1066	Y		CI					200605		
BR19854	GUARATINGUETA		SBGW	N	WGE	WGE	S22472979	-22.791608	W045121720	-45.204778	01761	B	W020441 0106	1262	Y		ML					200512		
BR20625	JANUARIA		SB	SNJN	WGE	WGE	S15282580	-15.473833	W044230770	-44.385472	01575	D	W021456 0106	1140			CI					200411		
BR20731	LINS		SBLN	N	WGE	WGE	S21395054	-21.664039	W049434987	-49.730519	01575	D	W018332 0106	1262			CI					200607		
BR21060	FAZENDA GUANABARA		SB	SWGZ	WGE	WGE	S14463461	-14.776281	W057111744	-57.188178	00988	D	W014537 0106	1138			PV					200606		
BR21105	OURINHOS		SB	SDOU	WGE	WGE	S22575940	-22.966500	W049544781	-49.913281	01532	D	W018100 0106	1262			CI					200513		
BR21257	PORTO DE MOZ		SB	SNMZ	WGE	WGE	S01442923	-1.741453	W052140984	-52.236067	00053	D	W018254 0106	0946			CI					200607		
BR21418	PONTA GROSSA		SB	SSZW	WGE	WGE	S25110497	-25.184714	W050083873	-50.144092	02588	D	W017276 0106	1313	Y		CI					200602		
BR21569	PORECATU		SB	SSPK	WGE	WGE	S22464357	-22.778769	W051214117	-51.361436	01424	D	W017182 0106	1261			PV					200509		
BR21625	SANTA MARIA		SBAR	N	WGE	WGE	S10590240	-10.984000	W037041320	-37.070333	00023	A	W022589 0106	1066	Y		CI					200510		
BR21665	CARAJAS		SBCJ	N	WGE	WGE	S06070410	-6.117806	W050001250	-50.003472	02038	D	W019295 0106	1016	Y		CI					200601		
BR21995	CASCAVEL		SBCA	N	WGE	WGE	S25000122	-25.000339	W053300275	-53.500764	02473	D	W015135 0106	1314	Y		CI					200602		
BR22046	TRES BARRAS		SB	SSTB	WGE	WGE	S26080884	-26.135789	W050183908	-50.310856	02559	D	W017045 0106	1313			CI					200513		
BR22136	GOVERNADOR VALADARES		SBGV	N	WGE	WGE	S18534285	-18.895236	W041585597	-41.982214	00561	D	W022280 0106	1189	Y		CI					200601		
BR22211	FAZENDA JUNQUEIRA 2		SB	SSJP	WGE	WGE	S22533450	-22.892917	W051553968	-51.927689	01428	D	W016542 0106	1261			PV					200605		
BR22787	JEQUITINHONHA		SB	SNJQ	WGE	WGE	S16263095	-16.441931	W041021285	-41.036903	00853	D	W022482 0106	1189			CI					200411		
BR22966	SANTO ANTONIO DO LEVERGER		SB	SWLV	WGE	WGE	S15511209	-15.853358	W056051473	-56.087425	00544	D	W015295 0106	1138			PV					200408		
BR23246	ALMENARA		SB	SNAR	WGE	WGE	S16095747	-16.165964	W040410397	-40.684436	00640	D	W022535 0106	1189	Y		CI					200510		
BR23737	EDUARDO GOMES INTL		SBEG	N	WGE	WGE	S03021900	-3.038611	W060025900	-60.049721	00264	A	W014153 0106	0948	Y		CI					200609		
BR24118	BARREIRINHA		SB	SWBI	WGE	WGE	S02473273	-2.792425	W057032848	-57.057911	00069	D	W016036 0106	0947			CI					200605		
BR24347	RESENDE		SB	SDRS	WGE	WGE	S22284259	-22.478497	W044284921	-44.480336	01320	D	W021071 0106	1262			CI					200509		
