ARPT_IDENT	HIGH_IDENT	LOW_IDENT	HIGH_HDG	LOW_HDG	LENGTH	RWY_WIDTH	SURFACE	PCN	HE_WGS_LAT	HE_WGS_DLAT	HE_WGS_LONG	HE_WGS_DLONG	HE_ELEV	HE_SLOPE	HE_TDZE	HE_DT	HE_DT_ELEV	HLGT_SYS_1	HLGT_SYS_2	HLGT_SYS_3	HLGT_SYS_4	HLGT_SYS_5	HLGT_SYS_6	HLGT_SYS_7	HLGT_SYS_8	LE_WGS_LAT	LE_WGS_DLAT	LE_WGS_LONG	LE_WGS_DLONG	LE_ELEV	LE_SLOPE	LE_TDZE	LE_DT	LE_DT_ELEV	LLGT_SYS_1	LLGT_SYS_2	LLGT_SYS_3	LLGT_SYS_4	LLGT_SYS_5	LLGT_SYS_6	LLGT_SYS_7	LLGT_SYS_8	HE_TRUE_HDG	LE_TRUE_HDG	CLD_RWY	HELAND_DIS	HE_TAKEOFF	LELAND_DIS	LE_TAKEOFF	CYCLE_DATE
AG00060	23	05	233.0	53.0	09843	00148	ASP	058FCXT	N35453554	35.759872	E006191978	6.322161	U	U	U		U	03	04	55						N35443961	35.744336	E006174206	6.295017	U	U	U		U	03	04	55						234.9	54.9		09843	10193	09843	10218	200608
AG00062	23	05	233.0	53.0	05490	00197	SAN		N26344708	26.579744	E008293420	8.492833	1778.0	0.0	U		U									N26341463	26.570731	E008284568	8.479356	1778.0	0.0	U		U									233.0	53.0		05490	05490	05490	05490	200104
AG00062	27	09	275.0	95.0	07794	00175	GRE		N26342179	26.572719	E008294303	8.495286	1778.0	0.0	U		U									N26342853	26.574592	E008281752	8.471533	1778.0	0.0	U		U									275.0	95.0		07794	07794	07794	08344	200104
AG03193	26	08	263.0	83.0	07874	00148	ASP	042FCWT	N36424900	36.713611	E005045900	5.083056	10.0	0.1	U		U	07	43	50						N36423600	36.710000	E005032400	5.056667	20.0	-0.1	U		U	07								260.0	80.0		07874	08078	07874	07987	200608
AG10462	19	01	187.0	7.0	09843	00148	ASP	063FDWT	N36504230	36.845083	E007484586	7.812739	10.0	U	U		U	05	50							N36490590	36.818306	E007483131	7.808697	U	U	U	0335	U	05								186.9	6.9		09843	09903	09508	09908	200608
AG10462	23	05	231.0	51.0	07513	00148	ASP	051FDWT	N36495989	36.833303	E007493649	7.826803	7.0	0.0	U		U	05								N36491420	36.820611	E007482429	7.806747	10.0	0.0	U		U	05								231.8	51.8		07513	07648	07513	07563	200608
AG12605	25	07	252.0	72.0	08530	00148	ASP	052FAWT	N35010247	35.017353	W001263772	-1.443811	804.0	0.0	U		U	07								N35003365	35.009347	W001281414	-1.470594	807.0	0.0	U		U	07								250.0	70.0		08530	08530	08530	08530	200304
AG14643	20	02	202.0	22.0	07874	00148	ASP		N24173900	24.294167	E009270932	9.452589	3163.0	-0.3	U		U									N24162607	24.273908	E009263835	9.443986	3140.0	0.3	U		U									202.0	22.0		07874	07874	07874	07874	200101
AG14643	31	13	305.0	125.0	09843	00148	ASP		N24163700	24.276944	E009283700	9.476944	3169.0	-0.1	U		U	07								N24173500	24.293056	E009270700	9.451944	3163.0	0.1	U		U	07								305.0	125.0		09843	10098	09843	09843	200304
AG16901	24	06	242.0	62.0	12245	00148	ASP		N31391634	31.654539	W002154130	-2.261472	U	U	U	2370	U									N31381571	31.637697	W002174394	-2.295539	U	U	U		U									240.0	60.0		09875	12245	12245	12245	200513
AG16901	36	18	2.0	182.0	09840	00148	ASP		N31375464	31.631844	W002154034	-2.261206	2654.0	0.1	U		U									N31393204	31.658900	W002154043	-2.261231	2661.0	-0.1	U		U									360.0	180.0		09840	09840	09840	09840	200507
AG17978	23	05	225.0	45.0	11883	00148	CON		N36332860	36.557944	E002532430	2.890083	240.0	0.8	U		U									N36320170	36.533806	E002514520	2.862556	335.0	-0.8	U		U									223.9	43.9		11883	12533	11883	12543	200606
